bruises,odor,gill-spacing,gill-size,gill-color,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-type,spore-print-color,population,habitat,poisonous
t,l,c,b,k,s,s,w,w,p,n,n,m,e
f,n,w,b,p,f,s,w,w,e,n,s,g,e
f,n,w,b,k,s,s,w,w,e,k,a,g,e
f,n,w,b,n,f,f,w,w,e,k,s,g,e
f,n,w,b,p,f,s,w,w,e,k,a,g,e
f,n,w,b,h,s,f,w,w,e,n,a,g,e
f,n,w,b,n,s,f,w,w,e,n,s,g,e
t,a,c,b,g,s,s,w,w,p,n,n,m,e
t,p,c,n,k,s,s,w,w,p,k,v,g,p
f,n,w,b,k,s,f,w,w,e,k,a,g,e
f,n,w,b,k,f,s,w,w,e,k,s,g,e
t,a,c,b,n,s,y,w,w,p,k,s,g,e
f,n,w,b,n,f,f,w,w,e,n,a,g,e
f,n,w,b,k,f,s,w,w,e,n,a,g,e
t,p,c,n,n,s,s,w,w,p,k,v,u,p
f,n,w,b,n,f,f,w,w,e,k,a,g,e
f,n,w,b,p,f,s,w,w,e,n,s,g,e
t,p,c,n,n,s,s,w,w,p,k,v,g,p
f,n,w,b,p,s,s,w,w,e,n,a,g,e
f,n,w,b,p,f,s,w,w,e,k,a,g,e
t,n,c,b,u,s,s,g,p,p,k,v,d,e
f,n,w,b,p,f,s,w,w,e,k,s,g,e
t,p,c,n,p,s,s,w,w,p,n,v,u,p
f,n,w,b,h,s,f,w,w,e,k,a,g,e
f,n,w,b,h,s,s,w,w,e,n,s,g,e
f,n,w,b,p,f,f,w,w,e,n,s,g,e
f,n,w,b,n,f,f,w,w,e,k,a,g,e
t,l,c,b,w,s,y,w,w,p,n,y,g,e
t,p,c,n,w,s,s,w,w,p,n,s,g,p
f,n,w,b,p,s,s,w,w,e,n,a,g,e
f,n,c,n,p,s,s,w,w,p,k,y,u,e
t,p,c,n,w,s,s,w,w,p,n,s,u,p
f,n,w,b,n,s,f,w,w,e,n,s,g,e
f,n,w,b,k,f,f,w,w,e,n,s,g,e
t,a,c,b,n,s,y,w,w,p,n,y,p,e
f,n,w,b,h,f,f,w,w,e,n,s,g,e
f,n,w,b,h,f,f,w,w,e,k,a,g,e
t,p,c,n,n,s,s,w,w,p,n,s,g,p
f,n,w,b,h,f,s,w,w,e,k,s,g,e
f,n,w,b,k,s,s,w,w,e,n,s,g,e
f,n,w,b,n,s,s,w,w,e,k,s,g,e
t,n,c,b,p,s,s,p,p,p,n,v,d,e
f,n,w,b,k,f,f,w,w,e,k,s,g,e
f,n,w,b,n,f,s,w,w,e,k,a,g,e
f,n,w,b,k,f,f,w,w,e,k,s,g,e
f,n,w,b,h,s,s,w,w,e,n,s,g,e
t,n,c,b,n,s,s,w,w,p,k,y,d,e
f,n,w,b,p,f,f,w,w,e,n,s,g,e
t,p,c,n,n,s,s,w,w,p,n,s,u,p
f,n,w,b,n,s,f,w,w,e,n,a,g,e
f,n,w,b,k,s,s,w,w,e,n,s,g,e
t,n,c,b,p,s,s,w,g,p,k,v,d,e
t,a,c,b,p,s,y,w,w,p,n,y,g,e
f,n,w,b,k,f,f,w,w,e,k,a,g,e
f,n,w,b,h,f,s,w,w,e,k,a,g,e
f,n,w,b,k,s,s,w,w,e,k,a,g,e
t,a,c,b,k,s,s,w,w,p,n,s,g,e
t,n,c,b,p,s,s,g,w,p,k,y,d,e
f,n,w,b,p,s,s,w,w,e,k,a,g,e
f,n,w,b,n,f,s,w,w,e,k,a,g,e
t,p,c,n,n,s,s,w,w,p,n,s,u,p
t,p,c,n,k,s,s,w,w,p,k,v,u,p
f,n,w,b,p,s,s,w,w,e,k,a,g,e
f,n,c,n,n,s,s,w,w,p,n,v,u,e
f,n,w,b,p,f,f,w,w,e,k,s,g,e
f,n,w,b,k,f,s,w,w,e,k,a,g,e
t,p,c,n,w,s,s,w,w,p,k,s,g,p
t,a,c,b,k,s,s,w,w,p,n,s,g,e
f,n,w,b,h,f,f,w,w,e,k,a,g,e
t,p,c,n,n,s,s,w,w,p,k,s,u,p
f,n,w,b,h,f,f,w,w,e,k,a,g,e
f,n,w,b,k,s,f,w,w,e,n,s,g,e
f,n,w,b,n,f,s,w,w,e,k,s,g,e
t,p,c,n,n,s,s,w,w,p,n,v,u,p
f,n,w,b,k,f,f,w,w,e,k,a,g,e
f,n,w,b,h,f,s,w,w,e,n,a,g,e
f,n,w,b,p,s,s,w,w,e,n,s,g,e
f,n,w,b,p,f,f,w,w,e,n,a,g,e
t,p,c,n,k,s,s,w,w,p,k,v,g,p
f,n,w,b,p,s,f,w,w,e,n,s,g,e
f,n,w,b,p,f,s,w,w,e,n,a,g,e
t,p,c,n,k,s,s,w,w,p,k,v,u,p
f,n,w,b,p,s,f,w,w,e,k,a,g,e
t,n,c,b,w,s,s,w,g,p,n,v,d,e
f,n,w,b,h,s,f,w,w,e,n,a,g,e
t,n,c,b,u,s,s,w,p,p,k,v,d,e
t,n,c,b,p,s,s,p,w,p,n,v,d,e
t,n,c,b,n,s,s,p,g,p,n,y,d,e
t,n,c,b,p,s,s,p,p,p,k,v,d,e
f,n,w,b,h,f,s,w,w,e,n,s,g,e
t,n,c,b,u,s,s,p,p,p,n,y,d,e
t,n,c,b,p,s,s,g,p,p,k,y,d,e
f,n,w,b,p,f,s,w,w,e,n,s,g,e
t,p,c,n,n,s,s,w,w,p,n,s,g,p
t,n,c,b,n,s,s,g,w,p,k,v,d,e
t,p,c,n,n,s,s,w,w,p,k,v,g,p
t,a,c,b,n,s,s,w,w,p,n,s,g,e
f,n,w,b,h,s,s,w,w,e,k,a,g,e
t,a,c,b,g,s,s,w,w,p,n,s,g,e
f,f,c,b,h,k,k,n,b,l,h,y,g,p
f,n,w,b,k,f,s,w,w,e,n,a,g,e
f,n,w,b,p,f,f,w,w,e,n,s,g,e
t,n,c,b,p,s,s,g,g,p,k,v,d,e
f,n,w,b,h,s,s,w,w,e,k,s,g,e
f,n,w,b,h,s,f,w,w,e,k,s,g,e
t,p,c,n,p,s,s,w,w,p,k,v,u,p
t,n,c,b,p,s,s,p,g,p,n,y,d,e
t,l,c,b,k,s,s,w,w,p,n,n,g,e
f,n,w,b,n,f,s,w,w,e,k,s,g,e
t,n,c,b,n,s,s,w,g,p,n,v,d,e
f,n,w,b,n,s,s,w,w,e,k,s,g,e
f,n,w,b,p,f,s,w,w,e,n,a,g,e
t,n,c,b,n,s,s,w,p,p,k,v,d,e
t,n,c,b,w,s,s,w,g,p,n,y,d,e
t,n,c,b,u,s,s,g,w,p,k,v,d,e
f,n,w,b,n,f,s,w,w,e,n,a,g,e
t,n,c,b,u,s,s,p,w,p,k,v,d,e
t,n,c,b,u,s,s,g,g,p,n,v,d,e
t,n,c,b,w,s,s,g,w,p,n,v,d,e
t,n,c,b,w,s,s,p,g,p,n,y,d,e
f,n,w,b,h,f,f,w,w,e,n,s,g,e
t,n,c,b,p,s,s,p,w,p,k,y,d,e
f,n,w,b,n,s,f,w,w,e,k,s,g,e
f,n,w,b,h,f,s,w,w,e,k,a,g,e
f,n,w,b,p,s,s,w,w,e,n,a,g,e
t,n,c,b,p,s,s,w,p,p,k,v,d,e
t,p,c,n,k,s,s,w,w,p,n,s,u,p
t,n,c,b,p,s,s,p,g,p,k,v,d,e
f,n,w,b,p,s,f,w,w,e,k,s,g,e
f,n,w,b,h,f,s,w,w,e,n,a,g,e
t,n,c,b,w,s,s,g,p,p,n,v,d,e
t,n,c,b,p,s,s,p,w,p,k,v,d,e
t,n,c,b,w,s,s,g,w,p,k,v,d,e
t,n,c,b,n,s,s,w,p,p,k,v,d,e
f,n,w,b,h,f,s,w,w,e,n,a,g,e
t,n,c,b,w,s,s,w,g,p,n,v,d,e
t,n,c,b,p,s,s,w,p,p,k,v,d,e
t,n,c,b,u,s,s,w,w,p,k,y,d,e
t,n,c,b,n,s,s,p,w,p,n,y,d,e
t,a,w,n,w,s,s,w,w,p,n,v,d,e
t,n,c,b,w,s,s,g,g,p,n,v,d,e
t,p,c,n,w,s,s,w,w,p,n,v,g,p
f,n,w,b,h,f,f,w,w,e,k,s,g,e
t,n,c,b,u,s,s,g,g,p,n,y,d,e
t,n,c,b,w,s,s,p,p,p,k,v,d,e
f,n,w,b,h,f,s,w,w,e,k,a,g,e
t,n,c,b,w,s,s,p,w,p,n,y,d,e
f,n,w,b,n,s,s,w,w,e,n,s,g,e
t,n,c,b,w,s,s,p,g,p,n,y,d,e
t,n,c,b,u,s,s,p,w,p,n,v,d,e
f,n,w,b,p,f,s,w,w,e,k,a,g,e
f,n,w,b,n,s,f,w,w,e,k,a,g,e
f,n,w,b,n,s,s,w,w,e,k,s,g,e
f,n,w,b,n,s,f,w,w,e,k,s,g,e
t,n,c,b,n,s,s,p,g,p,n,y,d,e
f,n,w,b,n,s,f,w,w,e,k,a,g,e
f,n,w,b,k,s,s,w,w,e,k,a,g,e
t,n,c,b,w,s,s,g,g,p,n,v,d,e
t,n,c,b,p,s,s,p,w,p,n,y,d,e
t,n,c,b,u,s,s,w,w,p,n,v,d,e
t,n,c,b,p,s,s,w,g,p,k,y,d,e
f,n,w,b,h,s,s,w,w,e,n,s,g,e
f,n,w,b,n,s,s,w,w,e,k,a,g,e
f,n,w,b,h,s,f,w,w,e,k,a,g,e
f,n,w,b,k,s,s,w,w,e,n,a,g,e
t,n,c,b,u,s,s,g,p,p,n,v,d,e
t,n,c,b,u,s,s,g,g,p,n,y,d,e
t,n,c,b,w,s,s,g,p,p,k,v,d,e
t,l,w,n,p,s,s,w,w,p,n,v,d,e
f,n,w,b,k,f,f,w,w,e,k,a,g,e
t,p,c,n,n,s,s,w,w,p,k,s,g,p
t,n,c,b,n,s,s,g,g,p,k,v,d,e
t,n,c,b,w,s,s,w,g,p,n,v,d,e
f,n,w,b,k,f,f,w,w,e,n,a,g,e
f,n,w,b,h,f,f,w,w,e,n,a,g,e
f,n,w,b,h,s,s,w,w,e,n,a,g,e
f,n,w,b,n,s,s,w,w,e,n,a,g,e
f,n,w,b,h,s,s,w,w,e,n,a,g,e
t,n,c,b,w,s,s,g,g,p,n,v,d,e
t,n,c,b,u,s,s,p,p,p,n,y,d,e
f,n,w,b,k,f,f,w,w,e,n,s,g,e
f,n,w,b,n,f,f,w,w,e,k,a,g,e
f,n,w,b,p,f,s,w,w,e,n,s,g,e
t,n,c,b,n,s,s,p,w,p,k,y,d,e
f,n,w,b,h,f,f,w,w,e,n,a,g,e
f,n,w,b,k,s,f,w,w,e,n,a,g,e
f,n,w,b,h,f,s,w,w,e,k,s,g,e
f,n,w,b,k,s,s,w,w,e,n,s,g,e
f,n,w,b,k,s,s,w,w,e,n,a,g,e
f,n,w,b,p,f,f,w,w,e,k,a,g,e
t,n,c,b,w,s,s,w,p,p,n,v,d,e
f,n,w,b,h,s,f,w,w,e,k,a,g,e
f,n,w,b,n,f,f,w,w,e,n,s,g,e
t,n,c,b,p,s,s,g,w,p,k,v,d,e
t,n,c,b,u,s,s,g,g,p,k,v,d,e
t,n,c,b,n,s,s,g,p,p,k,v,d,e
f,n,w,b,h,s,s,w,w,e,k,s,g,e
f,n,w,b,p,f,s,w,w,e,n,a,g,e
t,l,c,b,p,s,y,w,w,p,n,y,g,e
t,p,c,n,w,s,s,w,w,p,k,v,u,p
f,n,w,b,h,f,f,w,w,e,k,a,g,e
f,n,w,b,k,s,f,w,w,e,k,s,g,e
t,n,c,b,p,s,s,g,w,p,k,v,d,e
t,n,c,b,u,s,s,g,w,p,k,y,d,e
f,n,w,b,p,s,s,w,w,e,n,a,g,e
f,n,w,b,n,f,s,w,w,e,k,s,g,e
f,n,w,b,h,f,f,w,w,e,n,s,g,e
t,n,c,b,w,s,s,g,w,p,n,v,d,e
t,n,c,b,w,s,s,g,w,p,k,v,d,e
f,n,w,b,p,s,f,w,w,e,k,s,g,e
f,n,w,b,p,s,f,w,w,e,k,a,g,e
f,n,w,b,h,s,f,w,w,e,k,s,g,e
f,n,w,b,p,s,s,w,w,e,k,s,g,e
t,p,c,n,w,s,s,w,w,p,k,s,u,p
t,a,c,b,k,s,s,w,w,p,n,s,g,e
t,n,c,b,w,s,s,g,w,p,n,v,d,e
f,n,w,b,k,f,f,w,w,e,k,a,g,e
f,n,w,b,k,f,s,w,w,e,n,s,g,e
f,n,w,b,k,s,f,w,w,e,n,s,g,e
t,l,w,n,n,s,s,w,w,p,u,v,d,e
f,n,w,b,h,s,s,w,w,e,n,a,g,e
f,n,w,b,h,f,s,w,w,e,k,a,g,e
f,n,w,b,k,f,s,w,w,e,k,s,g,e
t,n,c,b,p,s,s,w,p,p,k,v,d,e
t,n,c,b,n,s,s,g,p,p,k,v,d,e
t,n,c,b,n,s,s,w,w,p,k,v,d,e
f,n,w,b,k,s,s,w,w,e,k,s,g,e
f,n,w,b,n,f,s,w,w,e,n,s,g,e
t,p,c,n,k,s,s,w,w,p,n,v,u,p
f,n,w,b,p,f,f,w,w,e,n,s,g,e
t,n,c,b,w,s,s,g,g,p,n,y,d,e
t,n,c,b,n,s,s,g,g,p,n,v,d,e
f,n,w,b,p,s,s,w,w,e,n,a,g,e
t,n,c,b,w,s,s,p,p,p,n,v,d,e
t,n,c,b,u,s,s,p,p,p,n,v,d,e
t,n,c,b,p,s,s,g,p,p,k,y,d,e
t,n,c,b,u,s,s,p,w,p,n,v,d,e
t,n,c,b,p,s,s,p,g,p,k,v,d,e
t,p,c,n,p,s,s,w,w,p,k,v,g,p
f,n,w,b,k,s,s,w,w,e,k,s,g,e
t,n,c,b,w,s,s,p,p,p,n,v,d,e
t,n,c,b,p,s,s,w,g,p,n,y,d,e
t,p,c,n,w,s,s,w,w,p,n,s,g,p
t,n,c,b,u,s,s,w,g,p,k,y,d,e
f,n,w,b,h,s,f,w,w,e,k,s,g,e
t,n,c,b,u,s,s,g,g,p,k,v,d,e
f,n,w,b,k,f,s,w,w,e,n,s,g,e
f,n,w,b,h,f,f,w,w,e,n,a,g,e
f,n,w,b,p,s,s,w,w,e,k,s,g,e
t,n,c,b,w,s,s,w,g,p,n,v,d,e
f,n,w,b,k,f,f,w,w,e,k,s,g,e
t,n,c,b,n,s,s,p,p,p,n,v,d,e
f,n,w,b,h,s,s,w,w,e,k,s,g,e
f,n,w,b,k,f,f,w,w,e,k,a,g,e
f,n,w,b,h,s,f,w,w,e,n,s,g,e
t,p,c,n,w,s,s,w,w,p,k,v,u,p
t,n,c,b,p,s,s,w,w,p,k,y,d,e
f,n,w,b,k,f,s,w,w,e,n,s,g,e
t,p,c,n,n,s,s,w,w,p,n,s,g,p
t,n,c,b,n,s,s,p,g,p,n,v,d,e
t,n,c,b,u,s,s,w,p,p,n,y,d,e
f,n,w,b,p,f,f,w,w,e,n,a,g,e
t,n,c,b,p,s,s,g,g,p,k,v,d,e
f,n,w,b,p,s,s,w,w,e,n,s,g,e
f,n,w,b,h,f,f,w,w,e,k,s,g,e
t,l,c,b,k,s,s,w,w,p,k,n,m,e
f,n,w,b,p,f,s,w,w,e,n,s,g,e
t,n,c,b,u,s,s,p,g,p,n,v,d,e
t,n,c,b,n,s,s,g,w,p,k,y,d,e
f,n,w,b,n,f,s,w,w,e,n,a,g,e
t,p,c,n,n,s,s,w,w,p,n,s,u,p
t,n,c,b,w,s,s,w,p,p,n,v,d,e
t,p,c,n,n,s,s,w,w,p,k,s,u,p
t,p,c,n,w,s,s,w,w,p,n,v,g,p
t,n,c,b,p,s,s,p,p,p,n,v,d,e
f,n,w,b,h,s,f,w,w,e,n,a,g,e
t,n,c,b,p,s,s,g,w,p,n,y,d,e
f,n,w,b,h,s,f,w,w,e,k,a,g,e
t,n,c,b,w,s,s,p,g,p,n,y,d,e
f,n,w,b,p,f,s,w,w,e,n,s,g,e
f,n,w,b,p,s,f,w,w,e,k,a,g,e
f,n,w,b,k,f,f,w,w,e,k,a,g,e
f,n,w,b,k,s,f,w,w,e,k,s,g,e
t,n,c,b,w,s,s,g,g,p,n,v,d,e
t,n,c,b,u,s,s,g,w,p,n,v,d,e
f,n,w,b,k,f,f,w,w,e,k,a,g,e
t,n,c,b,w,s,s,g,g,p,k,y,d,e
t,p,c,n,w,s,s,w,w,p,n,v,u,p
t,l,c,b,n,s,y,w,w,p,n,s,g,e
t,p,c,n,p,s,s,w,w,p,k,s,g,p
f,n,w,b,h,f,s,w,w,e,n,s,g,e
f,n,w,b,n,f,f,w,w,e,k,a,g,e
t,p,c,n,w,s,s,w,w,p,n,v,g,p
f,n,w,b,k,f,f,w,w,e,n,a,g,e
f,n,w,b,n,s,f,w,w,e,k,s,g,e
t,n,c,b,u,s,s,g,w,p,k,v,d,e
f,n,w,b,k,s,s,w,w,e,k,a,g,e
f,n,w,b,k,s,s,w,w,e,n,s,g,e
f,n,w,b,p,f,s,w,w,e,n,a,g,e
f,n,w,b,h,f,s,w,w,e,k,s,g,e
t,a,w,n,n,s,s,w,w,p,n,v,d,e
t,a,w,n,n,s,s,w,w,p,n,v,d,e
f,n,w,b,p,s,f,w,w,e,n,a,g,e
t,n,c,b,u,s,s,w,w,p,n,y,d,e
t,n,c,b,n,s,s,g,p,p,k,y,d,e
t,n,c,b,u,s,s,w,g,p,n,y,d,e
f,n,w,b,k,s,f,w,w,e,k,s,g,e
t,n,c,b,u,s,s,w,w,p,n,y,d,e
t,n,c,b,n,s,s,p,p,p,k,v,d,e
f,n,w,b,p,f,s,w,w,e,k,a,g,e
t,n,c,b,n,s,s,w,p,p,n,v,d,e
f,n,w,b,h,f,f,w,w,e,k,a,g,e
t,l,c,b,k,s,s,w,w,p,k,s,m,e
t,n,c,b,u,s,s,w,p,p,k,v,d,e
f,n,w,b,h,s,f,w,w,e,n,s,g,e
t,n,c,b,w,s,s,p,p,p,k,y,d,e
t,n,c,b,p,s,s,g,g,p,k,y,d,e
t,n,c,b,u,s,s,p,g,p,k,v,d,e
f,n,w,b,p,s,s,w,w,e,n,a,g,e
f,n,w,b,k,f,s,w,w,e,k,s,g,e
f,n,w,b,p,f,f,w,w,e,n,a,g,e
f,n,w,b,n,s,s,w,w,e,k,a,g,e
t,n,c,b,w,s,s,w,p,p,k,y,d,e
t,n,c,b,w,s,s,p,w,p,n,y,d,e
t,n,c,b,n,s,s,p,w,p,k,y,d,e
f,n,w,b,k,f,f,w,w,e,n,s,g,e
f,n,w,b,n,s,f,w,w,e,n,s,g,e
f,n,w,b,n,s,s,w,w,e,k,s,g,e
t,a,c,b,p,s,y,w,w,p,n,s,p,e
t,n,c,b,u,s,s,w,p,p,n,v,d,e
f,n,w,b,h,f,s,w,w,e,k,s,g,e
t,n,c,b,p,s,s,w,g,p,k,v,d,e
t,n,c,b,n,s,s,w,p,p,n,y,d,e
f,n,w,b,k,f,s,w,w,e,n,a,g,e
t,a,c,b,k,s,s,w,w,p,k,s,m,e
f,n,w,b,p,s,s,w,w,e,n,s,g,e
f,n,w,b,p,s,s,w,w,e,n,a,g,e
t,n,c,b,u,s,s,g,w,p,n,v,d,e
f,n,w,b,k,f,f,w,w,e,k,s,g,e
t,n,c,b,u,s,s,g,p,p,n,v,d,e
t,n,c,b,p,s,s,w,g,p,n,y,d,e
f,n,w,b,p,s,f,w,w,e,n,a,g,e
t,a,c,b,n,s,s,w,w,p,k,n,m,e
f,n,w,b,n,f,s,w,w,e,n,s,g,e
t,p,c,n,n,s,s,w,w,p,n,v,g,p
f,n,w,b,p,f,s,w,w,e,n,s,g,e
t,n,c,b,n,s,s,p,w,p,n,v,d,e
f,n,w,b,n,s,f,w,w,e,n,s,g,e
t,n,c,b,u,s,s,p,w,p,k,v,d,e
t,n,c,b,p,s,s,p,p,p,n,v,d,e
t,p,c,n,n,s,s,w,w,p,k,v,u,p
f,n,w,b,p,s,s,w,w,e,n,a,g,e
t,n,c,b,n,s,s,w,g,p,k,y,d,e
t,n,c,b,n,s,s,g,p,p,k,y,d,e
t,n,c,b,n,s,s,w,g,p,k,v,d,e
t,n,c,b,w,s,s,p,p,p,n,y,d,e
t,n,c,b,u,s,s,p,g,p,k,y,d,e
t,p,c,n,p,s,s,w,w,p,n,v,u,p
t,l,c,b,k,s,s,w,w,p,k,n,m,e
t,n,c,b,n,s,s,p,p,p,n,v,d,e
t,n,c,b,w,s,s,w,w,p,n,y,d,e
f,n,w,b,n,f,f,w,w,e,n,s,g,e
t,n,c,b,u,s,s,w,p,p,n,y,d,e
f,n,w,b,k,f,s,w,w,e,n,s,g,e
f,n,w,b,p,f,s,w,w,e,n,s,g,e
t,n,c,b,n,s,s,g,g,p,n,v,d,e
t,n,c,b,u,s,s,w,p,p,n,v,d,e
f,n,w,b,n,s,f,w,w,e,k,s,g,e
f,n,w,b,n,s,s,w,w,e,k,s,g,e
f,n,w,b,h,f,f,w,w,e,n,s,g,e
t,n,c,b,p,s,s,g,w,p,k,y,d,e
t,n,c,b,n,s,s,p,g,p,n,y,d,e
t,p,c,n,p,s,s,w,w,p,k,s,u,p
t,n,c,b,p,s,s,g,g,p,k,v,d,e
f,n,w,b,k,s,f,w,w,e,n,a,g,e
t,a,c,b,g,s,s,w,w,p,n,s,m,e
f,n,w,b,h,f,f,w,w,e,n,s,g,e
f,n,w,b,k,f,f,w,w,e,k,s,g,e
t,n,c,b,p,s,s,g,w,p,k,y,d,e
t,n,c,b,n,s,s,w,w,p,n,v,d,e
f,n,w,b,p,f,s,w,w,e,k,s,g,e
t,p,c,n,n,s,s,w,w,p,k,s,g,p
f,n,w,b,k,s,s,w,w,e,n,a,g,e
t,n,c,b,p,s,s,w,g,p,k,y,d,e
t,n,c,b,p,s,s,w,w,p,n,v,d,e
t,n,c,b,w,s,s,p,w,p,n,v,d,e
t,n,c,b,p,s,s,p,g,p,n,y,d,e
t,n,c,b,w,s,s,g,p,p,n,y,d,e
t,n,c,b,u,s,s,g,g,p,k,y,d,e
t,n,c,b,p,s,s,w,w,p,n,v,d,e
t,n,c,b,u,s,s,p,p,p,k,y,d,e
t,n,c,b,w,s,s,p,w,p,k,v,d,e
t,n,c,b,p,s,s,w,w,p,k,v,d,e
t,n,c,b,w,s,s,g,w,p,k,v,d,e
t,n,c,b,u,s,s,g,p,p,n,v,d,e
t,p,c,n,w,s,s,w,w,p,n,v,g,p
t,n,c,b,n,s,s,p,g,p,n,v,d,e
t,n,c,b,p,s,s,w,w,p,k,v,d,e
t,n,c,b,p,s,s,g,g,p,n,y,d,e
t,n,c,b,w,s,s,w,g,p,k,y,d,e
t,n,c,b,n,s,s,g,p,p,k,v,d,e
t,n,c,b,n,s,s,p,p,p,k,v,d,e
t,n,c,b,u,s,s,g,w,p,k,v,d,e
t,n,c,b,p,s,s,w,w,p,n,y,d,e
t,n,c,b,n,s,s,w,w,p,n,y,d,e
t,n,c,b,p,s,s,g,p,p,k,v,d,e
t,n,c,b,u,s,s,w,p,p,k,v,d,e
t,n,c,b,w,s,s,p,p,p,k,v,d,e
t,n,c,b,u,s,s,p,g,p,n,v,d,e
t,n,c,b,p,s,s,g,g,p,n,y,d,e
t,n,c,b,n,s,s,w,p,p,k,v,d,e
f,f,c,b,p,k,k,b,b,l,h,y,g,p
t,p,c,n,p,s,s,w,w,p,k,s,g,p
t,n,c,b,n,s,s,p,w,p,k,v,d,e
f,n,w,b,h,s,s,w,w,e,n,s,g,e
t,n,c,b,u,s,s,g,w,p,n,v,d,e
t,n,c,b,n,s,s,g,w,p,n,y,d,e
t,n,c,b,w,s,s,p,g,p,n,v,d,e
t,n,c,b,u,s,s,p,w,p,n,y,d,e
t,n,c,b,w,s,s,g,w,p,n,v,d,e
t,n,c,b,u,s,s,w,p,p,k,v,d,e
t,n,c,b,n,s,s,w,g,p,n,y,d,e
t,n,c,b,w,s,s,p,g,p,k,y,d,e
t,n,c,b,w,s,s,p,w,p,k,v,d,e
t,n,c,b,u,s,s,w,g,p,k,v,d,e
t,n,c,b,p,s,s,p,w,p,n,y,d,e
t,n,c,b,n,s,s,w,w,p,k,y,d,e
t,n,c,b,p,s,s,w,g,p,n,v,d,e
t,n,c,b,n,s,s,p,w,p,k,v,d,e
t,n,c,b,n,s,s,g,g,p,n,v,d,e
t,p,c,n,n,s,s,w,w,p,n,v,u,p
t,n,c,b,u,s,s,w,w,p,n,y,d,e
t,p,c,n,w,s,s,w,w,p,k,s,g,p
t,n,c,b,u,s,s,g,p,p,k,y,d,e
t,n,c,b,p,s,s,g,g,p,k,y,d,e
t,n,c,b,u,s,s,p,g,p,n,v,d,e
t,n,c,b,p,s,s,w,g,p,n,v,d,e
t,n,c,b,n,s,s,w,g,p,n,y,d,e
t,n,c,b,p,s,s,g,p,p,n,v,d,e
t,n,c,b,n,s,s,p,g,p,n,y,d,e
t,n,c,b,u,s,s,w,g,p,n,v,d,e
t,n,c,b,w,s,s,p,p,p,n,y,d,e
t,n,c,b,u,s,s,w,g,p,k,v,d,e
t,n,c,b,u,s,s,w,g,p,k,y,d,e
t,n,c,b,p,s,s,g,w,p,n,y,d,e
t,n,c,b,p,s,s,g,p,p,k,v,d,e
t,n,c,b,u,s,s,w,p,p,k,y,d,e
t,n,c,b,u,s,s,w,p,p,n,y,d,e
t,n,c,b,n,s,s,w,p,p,n,y,d,e
t,n,c,b,w,s,s,p,w,p,n,y,d,e
t,n,c,b,p,s,s,p,g,p,k,y,d,e
t,n,c,b,n,s,s,g,g,p,k,y,d,e
t,n,c,b,p,s,s,p,g,p,n,v,d,e
t,n,c,b,p,s,s,g,p,p,k,v,d,e
t,n,c,b,n,s,s,g,g,p,n,v,d,e
t,n,c,b,n,s,s,g,g,p,n,v,d,e
t,n,c,b,n,s,s,g,w,p,k,v,d,e
t,n,c,b,n,s,s,w,g,p,n,y,d,e
t,n,c,b,p,s,s,w,p,p,k,v,d,e
t,n,c,b,w,s,s,g,w,p,k,y,d,e
t,n,c,b,p,s,s,w,w,p,n,v,d,e
f,f,c,b,p,k,k,n,p,l,h,y,d,p
t,n,c,b,u,s,s,p,w,p,k,y,d,e
t,n,c,b,w,s,s,p,g,p,n,y,d,e
t,n,c,b,u,s,s,g,p,p,n,v,d,e
t,n,c,b,p,s,s,g,w,p,n,y,d,e
t,n,c,b,w,s,s,g,p,p,k,v,d,e
t,n,c,b,p,s,s,g,g,p,k,v,d,e
t,n,c,b,p,s,s,w,g,p,k,y,d,e
t,n,c,b,p,s,s,w,p,p,k,y,d,e
t,n,c,b,n,s,s,p,w,p,k,y,d,e
t,n,c,b,w,s,s,g,p,p,k,v,d,e
t,n,c,b,u,s,s,g,w,p,n,v,d,e
t,n,c,b,u,s,s,p,w,p,k,v,d,e
t,n,c,b,w,s,s,w,g,p,k,y,d,e
f,n,w,b,k,s,s,w,w,e,n,s,g,e
t,n,c,b,u,s,s,p,g,p,k,y,d,e
t,n,c,b,p,s,s,p,g,p,k,y,d,e
t,n,c,b,n,s,s,g,w,p,n,v,d,e
t,n,c,b,n,s,s,g,p,p,k,v,d,e
t,n,c,b,u,s,s,w,p,p,k,y,d,e
t,n,c,b,n,s,s,p,p,p,n,v,d,e
t,n,c,b,p,s,s,w,p,p,n,y,d,e
f,n,w,b,p,s,f,w,w,e,n,a,g,e
t,n,c,b,w,s,s,g,w,p,n,y,d,e
t,n,c,b,w,s,s,p,p,p,k,v,d,e
t,n,c,b,p,s,s,g,g,p,k,y,d,e
t,n,c,b,w,s,s,w,w,p,k,y,d,e
t,n,c,b,u,s,s,w,w,p,n,v,d,e
t,n,c,b,u,s,s,g,p,p,k,v,d,e
t,n,c,b,w,s,s,g,p,p,k,y,d,e
t,n,c,b,w,s,s,w,w,p,k,y,d,e
t,n,c,b,w,s,s,p,p,p,n,v,d,e
f,c,w,n,g,s,s,w,w,p,n,s,d,p
t,n,c,b,p,s,s,g,p,p,n,y,d,e
t,n,c,b,n,s,s,p,w,p,k,v,d,e
